排名	球员	球队	得分	命中-出手	命中率	命中-三分	三分命中率	命中-罚球	罚球命中率	场次	上场时间
1	布拉德利-比尔	奇才	32.90	11.60-24.20	47.8%	2.50-7.40	33.3%	7.30-8.20	89.3%	25	35.20
2	乔尔-恩比德	76人	30.30	9.60-17.90	53.6%	1.20-2.90	39.7%	10.00-11.70	85.3%	25	32.80
3	达米安-利拉德	开拓者	30.00	9.20-20.80	44.5%	4.20-11.00	38.5%	7.20-7.80	93.5%	28	36.00
4	斯蒂芬-库里	勇士	29.90	10.00-20.60	48.6%	5.00-11.90	42.3%	4.80-5.20	93.5%	30	34.10
5	卢卡-东契奇	独行侠	29.10	10.00-21.10	47.5%	2.40-7.20	33.5%	6.60-8.30	79.5%	27	35.30
6	扎克-拉文	公牛	28.90	10.30-19.90	51.8%	3.50-8.20	42.9%	4.70-5.50	86.2%	29	35.70
7	扬尼斯-阿德托昆博	雄鹿	28.40	10.20-18.50	55.1%	1.10-3.90	28%	6.90-10.50	65.4%	30	33.80
8	特雷-杨	老鹰	26.90	7.80-17.60	43.9%	2.40-6.20	37.9%	9.10-10.20	88.5%	28	34.80
8	科怀-伦纳德	快船	26.90	9.70-19.20	50.6%	2.00-5.00	38.9%	5.50-6.20	88.5%	25	34.80
10	尼古拉-约基奇	掘金	26.60	10.10-18.00	56.4%	1.50-3.80	40.4%	4.80-5.50	87.2%	30	35.90
11	杰森-塔特姆	凯尔特人	26.00	9.40-21.00	44.8%	2.80-7.10	39%	4.50-5.20	86.8%	25	35.50
12	勒布朗-詹姆斯	湖人	25.60	9.50-19.00	50.2%	2.40-6.70	36.2%	4.20-5.90	71%	31	34.70
13	杰伦-布朗	凯尔特人	25.50	9.60-19.40	49.7%	2.50-6.10	40.9%	3.80-4.90	76.6%	28	33.70
14	蔡恩-威廉森	鹈鹕	25.10	9.60-15.60	61.6%	0.20-0.60	35.3%	5.60-7.90	71.2%	29	32.80
15	多诺万-米切尔	爵士	24.60	8.40-19.70	42.8%	3.40-8.70	38.9%	4.30-5.20	82.9%	28	33.60
16	德文-布克	太阳	24.30	8.90-18.00	49.3%	2.20-5.80	37.2%	4.40-5.20	83.8%	25	34.70
17	尼古拉-武切维奇	魔术	24.10	9.60-20.00	48.1%	2.50-6.30	40.5%	2.30-2.70	83.5%	31	33.80
18	布兰登-英格拉姆	鹈鹕	23.90	8.30-17.80	46.9%	2.50-6.40	39.4%	4.70-5.40	88.2%	30	35.00
19	杰拉米-格兰特	活塞	23.50	7.80-17.80	43.7%	2.50-6.70	37.6%	5.40-6.10	88.5%	30	36.40
20	朱利叶斯-兰德尔	尼克斯	23.20	8.10-16.80	48.1%	1.80-4.50	41%	5.20-6.40	80.5%	31	36.80
21	科林-塞克斯顿	骑士	22.90	8.50-17.50	48.5%	1.50-3.80	39.4%	4.40-5.50	79.9%	26	35.60
22	谢伊-吉尔杰斯-亚历山大	雷霆	22.60	7.80-15.50	50%	1.90-4.80	40%	5.20-6.70	78.1%	24	33.90
23	安东尼-戴维斯	湖人	22.50	8.90-16.60	53.3%	0.70-2.50	29.3%	4.00-5.70	71.5%	23	32.80
24	达龙-福克斯	国王	22.30	8.10-17.50	46.6%	1.80-5.20	33.6%	4.30-6.30	67.9%	29	33.30
25	戈登-海沃德	黄蜂	21.90	8.00-16.40	48.5%	2.20-5.20	43.2%	3.80-4.40	86.4%	27	35.30
26	马尔科姆-布罗格登	步行者	21.60	8.10-18.40	44.2%	2.70-6.70	39.5%	2.70-2.90	90.6%	29	36.00
27	多曼塔斯-萨博尼斯	步行者	21.50	8.20-15.50	52.8%	1.00-2.80	35.8%	4.10-5.80	71%	29	36.40
28	特里-罗齐尔	黄蜂	21.10	7.60-15.40	49.6%	3.60-7.80	46%	2.30-2.80	80.5%	27	33.60
29	贾马尔-默里	掘金	20.90	7.80-16.40	47.7%	2.50-6.50	38.3%	2.80-3.40	81.1%	28	35.00
30	托拜厄斯-哈里斯	76人	20.60	7.90-15.50	51.3%	1.70-4.20	40.3%	3.00-3.40	89.4%	28	34.60
31	帕斯卡尔-西亚卡姆	猛龙	20.50	7.60-16.60	45.5%	1.20-4.00	30.1%	4.20-5.10	81.3%	28	36.00
31	克里斯-米德尔顿	雄鹿	20.50	7.50-14.90	50.5%	2.30-5.40	43.1%	3.00-3.40	89.5%	31	33.20
33	马利克-比斯利	森林狼	20.20	7.50-16.60	44.9%	3.40-8.50	39.8%	1.90-2.30	84.3%	31	33.00
34	弗雷德-范弗利特	猛龙	20.10	6.80-16.60	40.8%	3.30-8.70	37.6%	3.30-3.70	89.4%	31	36.60
35	德马尔-德罗赞	马刺	19.80	6.60-13.40	48.8%	0.60-1.90	33.3%	6.00-6.80	89.3%	25	33.40
36	巴姆-阿德巴约	热火	19.60	7.40-13.00	56.6%	0.10-0.20	33.3%	4.90-5.80	84.5%	28	33.80
37	拉塞尔-威斯布鲁克	奇才	19.30	7.50-17.90	41.7%	1.10-4.00	29.1%	3.20-5.20	62.5%	20	33.40
38	埃里克-戈登	火箭	18.70	6.20-13.40	46.3%	2.70-7.80	35.1%	3.50-4.20	84.8%	22	29.40
39	乔丹-克拉克森	爵士	18.20	6.80-14.80	45.6%	3.20-8.40	37.5%	1.50-1.60	95.8%	30	26.20
40	凯尔-洛瑞	猛龙	17.70	6.00-13.20	45.2%	2.80-7.10	38.8%	3.00-3.50	87.4%	25	34.40
40	安德鲁-威金斯	勇士	17.70	6.80-14.40	47%	1.90-5.20	36.9%	2.20-3.30	67%	31	32.30
42	约翰-科林斯	老鹰	17.60	6.90-13.00	53.1%	1.30-3.40	37.9%	2.50-3.00	85.4%	30	31.50
43	安德烈-德拉蒙德	骑士	17.50	7.20-15.20	47.4%	0.00-0.30	0%	3.10-5.20	59.7%	25	28.90
44	克里斯-保罗	太阳	17.10	6.50-13.10	49.5%	1.60-4.00	39.8%	2.50-2.50	97.2%	28	32.00
45	诺曼-鲍威尔	猛龙	17.00	5.70-12.10	47.1%	2.40-5.50	43.8%	3.20-3.70	88.7%	29	28.60
46	泰勒-希罗	热火	16.90	6.50-14.40	45.1%	2.00-5.90	34.4%	1.80-2.40	75.5%	22	33.30
47	小蒂姆-哈达威	独行侠	16.70	5.80-13.30	43.9%	3.10-7.80	39.3%	1.90-2.40	78.5%	27	30.60
48	RJ-巴雷特	尼克斯	16.60	6.30-14.70	43.1%	1.00-3.30	31.1%	2.90-3.90	73.6%	31	33.70
49	迈克-康利	爵士	16.50	5.70-12.60	45%	2.80-6.70	41%	2.40-2.90	82.6%	24	29.20
50	朱-霍勒迪	雄鹿	16.40	6.50-13.00	50.2%	1.90-4.80	38.7%	1.50-1.90	79.1%	23	32.50
